call_va	call_rva	target_va	target_rva	operand
0x0073BF34	0x0033BF34	0x007E90F0	0x003E90F0	0x7e90f0
0x0073BF75	0x0033BF75	0x00A112C0	0x006112C0	0xa112c0
0x0073BFBF	0x0033BFBF	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073BFD3	0x0033BFD3	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073C00E	0x0033C00E	0x004288A0	0x000288A0	0x4288a0
0x0073C043	0x0033C043	0x00417870	0x00017870	0x417870
0x0073C069	0x0033C069	0x00417870	0x00017870	0x417870
0x0073C0B1	0x0033C0B1	0x00738AB0	0x00338AB0	0x738ab0
0x0073C0E5	0x0033C0E5	0x0042C920	0x0002C920	0x42c920
0x0073C119	0x0033C119	0x004288A0	0x000288A0	0x4288a0
0x0073C156	0x0033C156	0x004288A0	0x000288A0	0x4288a0
0x0073C177	0x0033C177	0x0074B5D0	0x0034B5D0	0x74b5d0
0x0073C19B	0x0033C19B	0x00A112C0	0x006112C0	0xa112c0
0x0073C1E5	0x0033C1E5	0x007E90F0	0x003E90F0	0x7e90f0
0x0073C20F	0x0033C20F	0x007E90F0	0x003E90F0	0x7e90f0
0x0073C236	0x0033C236	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073C24F	0x0033C24F	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073C283	0x0033C283	0x009B92C0	0x005B92C0	0x9b92c0
0x0073C292	0x0033C292	0x007CAFE0	0x003CAFE0	0x7cafe0
0x0073C303	0x0033C303	0x00A112C0	0x006112C0	0xa112c0
0x0073C351	0x0033C351	0x00A112C0	0x006112C0	0xa112c0
0x0073C3DD	0x0033C3DD	0x0042C920	0x0002C920	0x42c920
0x0073C405	0x0033C405	0x00738AB0	0x00338AB0	0x738ab0
0x0073C422	0x0033C422	0x0074EF70	0x0034EF70	0x74ef70
0x0073C446	0x0033C446	0x00A112C0	0x006112C0	0xa112c0
0x0073C498	0x0033C498	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073C4A8	0x0033C4A8	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073C4C2	0x0033C4C2	0x00738AB0	0x00338AB0	0x738ab0
0x0073C4F7	0x0033C4F7	0x004288A0	0x000288A0	0x4288a0
0x0073C52E	0x0033C52E	0x009BE6B0	0x005BE6B0	0x9be6b0
0x0073C53F	0x0033C53F	0x007CB6E0	0x003CB6E0	0x7cb6e0
0x0073C55A	0x0033C55A	0x0074EFD0	0x0034EFD0	0x74efd0
0x0073C57B	0x0033C57B	0x009BE080	0x005BE080	0x9be080
0x0073C5B5	0x0033C5B5	0x00A112C0	0x006112C0	0xa112c0
0x0073C604	0x0033C604	0x0082CDD0	0x0042CDD0	0x82cdd0
0x0073C618	0x0033C618	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073C631	0x0033C631	0x00738AB0	0x00338AB0	0x738ab0
0x0073C64B	0x0033C64B	0x0074F030	0x0034F030	0x74f030
0x0073C6C2	0x0033C6C2	0x009BE080	0x005BE080	0x9be080
0x0073C716	0x0033C716	0x0082CDD0	0x0042CDD0	0x82cdd0
0x0073C72E	0x0033C72E	0x00738D70	0x00338D70	0x738d70
0x0073C741	0x0033C741	0x009AE170	0x005AE170	0x9ae170
0x0073C765	0x0033C765	0x00424540	0x00024540	0x424540
0x0073C772	0x0033C772	0x00AEF15C	0x006EF15C	0xaef15c
0x0073C7B0	0x0033C7B0	0x00738AB0	0x00338AB0	0x738ab0
0x0073C7FB	0x0033C7FB	0x00A112C0	0x006112C0	0xa112c0
0x0073C856	0x0033C856	0x007E90F0	0x003E90F0	0x7e90f0
0x0073C89B	0x0033C89B	0x0082C720	0x0042C720	0x82c720
0x0073C8CE	0x0033C8CE	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073C8E2	0x0033C8E2	0x009AE0E0	0x005AE0E0	0x9ae0e0
0x0073C8FD	0x0033C8FD	0x00738AB0	0x00338AB0	0x738ab0
0x0073C922	0x0033C922	0x004288A0	0x000288A0	0x4288a0
0x0073C968	0x0033C968	0x00A112C0	0x006112C0	0xa112c0
0x0073C9CD	0x0033C9CD	0x0082CDD0	0x0042CDD0	0x82cdd0
0x0073C9EF	0x0033C9EF	0x005CBE20	0x001CBE20	0x5cbe20
0x0073CA77	0x0033CA77	0x009AF620	0x005AF620	0x9af620
0x0073CAB6	0x0033CAB6	0x004E45C0	0x000E45C0	0x4e45c0
0x0073CB05	0x0033CB05	0x009AE640	0x005AE640	0x9ae640
0x0073CB1B	0x0033CB1B	0x00738AB0	0x00338AB0	0x738ab0
0x0073CB48	0x0033CB48	0x00424540	0x00024540	0x424540
0x0073CB55	0x0033CB55	0x00AEF15C	0x006EF15C	0xaef15c
0x0073CB97	0x0033CB97	0x009AF0E0	0x005AF0E0	0x9af0e0
0x0073CBCA	0x0033CBCA	0x00752900	0x00352900	0x752900
0x0073CC84	0x0033CC84	0x0082C720	0x0042C720	0x82c720
0x0073CCA5	0x0033CCA5	0x007E90F0	0x003E90F0	0x7e90f0
0x0073CCDE	0x0033CCDE	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073CD07	0x0033CD07	0x00738AB0	0x00338AB0	0x738ab0
0x0073CD58	0x0033CD58	0x005CC510	0x001CC510	0x5cc510
0x0073CDD2	0x0033CDD2	0x007E90F0	0x003E90F0	0x7e90f0
0x0073CE3F	0x0033CE3F	0x007E9020	0x003E9020	0x7e9020
0x0073CEAC	0x0033CEAC	0x00752C30	0x00352C30	0x752c30
0x0073CECC	0x0033CECC	0x00A112C0	0x006112C0	0xa112c0
0x0073CEDA	0x0033CEDA	0x0040D040	0x0000D040	0x40d040
0x0073CEE5	0x0033CEE5	0x004149D0	0x000149D0	0x4149d0
0x0073CF01	0x0033CF01	0x00426940	0x00026940	0x426940
0x0073CF1B	0x0033CF1B	0x00AEF12B	0x006EF12B	0xaef12b
0x0073CF58	0x0033CF58	0x00752460	0x00352460	0x752460
0x0073CFCB	0x0033CFCB	0x009ADDF0	0x005ADDF0	0x9addf0
0x0073D00E	0x0033D00E	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D04D	0x0033D04D	0x0082CDD0	0x0042CDD0	0x82cdd0
0x0073D067	0x0033D067	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D094	0x0033D094	0x0082CDD0	0x0042CDD0	0x82cdd0
0x0073D0D0	0x0033D0D0	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D0E3	0x0033D0E3	0x00738AB0	0x00338AB0	0x738ab0
0x0073D13B	0x0033D13B	0x00424540	0x00024540	0x424540
0x0073D148	0x0033D148	0x00AEF15C	0x006EF15C	0xaef15c
0x0073D15A	0x0033D15A	0x004217A0	0x000217A0	0x4217a0
0x0073D167	0x0033D167	0x004217A0	0x000217A0	0x4217a0
0x0073D196	0x0033D196	0x00424540	0x00024540	0x424540
0x0073D1A3	0x0033D1A3	0x00AEF15C	0x006EF15C	0xaef15c
0x0073D1B1	0x0033D1B1	0x004149D0	0x000149D0	0x4149d0
0x0073D1EA	0x0033D1EA	0x00417870	0x00017870	0x417870
0x0073D212	0x0033D212	0x004217A0	0x000217A0	0x4217a0
0x0073D225	0x0033D225	0x004D72B0	0x000D72B0	0x4d72b0
0x0073D246	0x0033D246	0x004217A0	0x000217A0	0x4217a0
0x0073D259	0x0033D259	0x004D72B0	0x000D72B0	0x4d72b0
0x0073D2B8	0x0033D2B8	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D333	0x0033D333	0x007E9020	0x003E9020	0x7e9020
0x0073D363	0x0033D363	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D3DD	0x0033D3DD	0x007E9020	0x003E9020	0x7e9020
0x0073D3F3	0x0033D3F3	0x00740BC0	0x00340BC0	0x740bc0
0x0073D3FB	0x0033D3FB	0x00428940	0x00028940	0x428940
0x0073D40C	0x0033D40C	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D433	0x0033D433	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D440	0x0033D440	0x00740BC0	0x00340BC0	0x740bc0
0x0073D44E	0x0033D44E	0x00740BC0	0x00340BC0	0x740bc0
0x0073D456	0x0033D456	0x00428940	0x00028940	0x428940
0x0073D467	0x0033D467	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D48E	0x0033D48E	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D49B	0x0033D49B	0x00740BC0	0x00340BC0	0x740bc0
0x0073D4A9	0x0033D4A9	0x00740BC0	0x00340BC0	0x740bc0
0x0073D4B1	0x0033D4B1	0x00428940	0x00028940	0x428940
0x0073D4C2	0x0033D4C2	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D4E9	0x0033D4E9	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D4F6	0x0033D4F6	0x00740BC0	0x00340BC0	0x740bc0
0x0073D504	0x0033D504	0x00740BC0	0x00340BC0	0x740bc0
0x0073D50C	0x0033D50C	0x00428940	0x00028940	0x428940
0x0073D525	0x0033D525	0x009BE080	0x005BE080	0x9be080
0x0073D530	0x0033D530	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D543	0x0033D543	0x0082C720	0x0042C720	0x82c720
0x0073D554	0x0033D554	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D57B	0x0033D57B	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D588	0x0033D588	0x00740BC0	0x00340BC0	0x740bc0
0x0073D596	0x0033D596	0x00740BC0	0x00340BC0	0x740bc0
0x0073D59E	0x0033D59E	0x00428940	0x00028940	0x428940
0x0073D5AF	0x0033D5AF	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D5D6	0x0033D5D6	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D5E3	0x0033D5E3	0x00740BC0	0x00340BC0	0x740bc0
0x0073D5FA	0x0033D5FA	0x00740BC0	0x00340BC0	0x740bc0
0x0073D602	0x0033D602	0x00428940	0x00028940	0x428940
0x0073D613	0x0033D613	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D63A	0x0033D63A	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D647	0x0033D647	0x00740BC0	0x00340BC0	0x740bc0
0x0073D64F	0x0033D64F	0x00428940	0x00028940	0x428940
0x0073D660	0x0033D660	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D687	0x0033D687	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D694	0x0033D694	0x00740BC0	0x00340BC0	0x740bc0
0x0073D731	0x0033D731	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D75E	0x0033D75E	0x007E9020	0x003E9020	0x7e9020
0x0073D76C	0x0033D76C	0x007E9020	0x003E9020	0x7e9020
0x0073D77D	0x0033D77D	0x00740BC0	0x00340BC0	0x740bc0
0x0073D78B	0x0033D78B	0x00428940	0x00028940	0x428940
0x0073D7A0	0x0033D7A0	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D7C6	0x0033D7C6	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D7D9	0x0033D7D9	0x00740BC0	0x00340BC0	0x740bc0
0x0073D7E9	0x0033D7E9	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D815	0x0033D815	0x00740BC0	0x00340BC0	0x740bc0
0x0073D823	0x0033D823	0x00428940	0x00028940	0x428940
0x0073D838	0x0033D838	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D85F	0x0033D85F	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D86C	0x0033D86C	0x00740BC0	0x00340BC0	0x740bc0
0x0073D8A3	0x0033D8A3	0x006F9400	0x002F9400	0x6f9400
0x0073D8AC	0x0033D8AC	0x006F95A0	0x002F95A0	0x6f95a0
0x0073D8C1	0x0033D8C1	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D8CC	0x0033D8CC	0x00740BC0	0x00340BC0	0x740bc0
0x0073D8D4	0x0033D8D4	0x00428940	0x00028940	0x428940
0x0073D8E5	0x0033D8E5	0x007E90F0	0x003E90F0	0x7e90f0
0x0073D910	0x0033D910	0x0082C7D0	0x0042C7D0	0x82c7d0
0x0073D91D	0x0033D91D	0x00740BC0	0x00340BC0	0x740bc0
0x0073D92B	0x0033D92B	0x004149D0	0x000149D0	0x4149d0
0x0073D947	0x0033D947	0x00426940	0x00026940	0x426940
